"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"168","15","72","22","75","263","162","95","75","213","47","218","124","116","167","195","102","260","51","38","33","58","255","88","196"
"168","15","72","22","75","263","189","95","75","213","47","218","124","116","167","195","102","260","51","38","33","58","255","88","196"
"168","15","72","22","75","263","189","95","75","213","47","218","124","116","167","195","102","260","51","38","33","58","255","88","196"
"168","15","72","22","75","263","189","95","75","213","47","218","124","116","167","195","102","260","51","38","43","58","255","88","196"
"168","15","72","22","75","263","189","95","75","213","47","218","124","116","167","195","102","260","51","38","43","58","249","88","196"
"168","15","72","22","75","263","189","95","75","213","47","218","124","116","167","195","102","260","51","38","43","58","249","79","196"
"168","15","72","22","75","263","189","95","75","213","47","218","124","116","167","195","102","260","51","38","43","58","249","88","196"
"168","15","72","22","75","263","189","95","75","213","47","218","124","116","167","195","102","260","51","38","43","58","249","88","196"
"168","15","72","22","75","264","189","95","75","213","47","218","124","116","167","195","102","260","51","38","43","58","249","88","196"
"168","15","72","22","75","264","189","95","75","213","47","218","124","116","167","195","102","260","51","38","33","58","249","88","196"
"168","15","72","22","75","264","189","95","75","213","47","218","124","116","167","195","102","260","51","38","33","58","249","88","196"
"168","15","72","22","75","264","189","95","75","213","47","227","124","116","167","195","102","260","51","38","33","58","249","88","196"
"168","15","72","22","75","264","189","95","75","217","47","227","124","116","167","195","102","260","51","38","33","58","249","88","196"
"168","15","72","22","75","264","189","95","75","217","47","227","124","116","167","214","102","260","51","38","33","58","249","88","196"
"168","15","72","22","75","264","189","95","75","217","47","227","124","116","167","214","102","260","51","38","33","58","249","88","196"
"168","15","72","22","75","264","189","95","75","217","47","227","124","116","167","214","102","260","51","38","33","58","249","88","196"
"168","15","72","22","75","264","189","95","75","217","47","227","124","116","167","214","102","260","51","38","33","58","249","88","196"
"168","15","72","22","75","264","162","95","75","217","47","227","124","116","167","214","102","260","51","38","33","58","249","88","196"
"168","15","72","22","75","264","162","95","75","217","47","227","124","116","167","214","102","266","51","38","33","58","249","88","196"
"168","15","72","22","75","264","162","95","75","217","47","227","124","115","167","214","102","266","51","38","33","58","249","88","196"
"168","15","72","22","75","264","162","95","75","217","47","227","124","115","167","214","102","266","51","38","41","58","249","88","196"
"168","15","72","22","75","264","162","95","75","217","47","227","124","115","167","214","102","266","51","38","41","58","249","88","196"
"168","15","72","22","75","264","162","95","75","217","47","227","124","115","167","214","102","266","51","38","41","58","249","88","196"
"168","15","72","22","75","264","162","95","75","217","47","227","124","115","159","214","102","266","51","38","41","58","249","88","196"
"168","15","72","28","75","264","162","95","75","217","47","227","124","115","159","214","102","266","51","38","41","58","249","88","196"
"168","15","72","24","75","264","162","95","75","217","47","227","124","115","159","214","102","266","51","38","41","58","249","88","196"
"168","15","72","24","75","264","162","95","75","217","47","227","124","115","159","214","102","266","51","38","41","52","249","88","196"
"168","15","72","24","75","264","162","95","75","217","47","227","124","115","159","214","102","262","51","38","41","52","249","88","196"
"168","15","72","24","75","264","162","95","75","226","47","227","124","115","159","214","102","262","51","38","41","52","249","88","196"
"168","15","72","24","75","264","162","95","75","226","47","227","124","115","159","208","102","262","51","38","41","52","249","88","196"
"168","15","72","24","75","264","162","95","75","226","47","227","124","115","159","208","102","262","51","38","41","52","236","88","196"
"168","15","72","24","75","264","162","95","75","226","47","227","124","115","159","208","102","262","51","38","33","52","236","88","196"
"168","15","72","24","75","264","162","95","75","226","47","227","124","115","159","208","102","262","51","38","41","52","236","88","196"
"168","15","72","24","75","264","162","95","75","226","47","227","100","115","159","208","102","262","51","38","41","52","236","88","196"
"168","15","72","24","75","264","162","95","75","226","47","227","81","115","159","208","102","262","51","38","41","52","236","88","196"
"168","15","72","24","75","264","162","95","75","226","47","227","81","115","159","208","102","262","51","38","41","52","236","88","196"
"168","15","72","24","75","264","162","99","75","226","47","227","81","115","159","208","102","262","51","38","41","52","236","88","196"
"168","15","72","24","75","264","162","99","75","226","47","227","81","115","159","208","114","262","51","38","41","52","236","88","196"
"168","15","72","24","75","264","162","99","75","226","47","227","81","115","159","208","114","262","51","38","41","52","236","88","196"
"168","15","72","24","75","264","156","99","75","226","47","227","81","115","159","208","114","262","51","38","41","52","236","88","196"
"168","15","72","24","75","264","141","99","75","226","47","227","81","115","159","208","114","262","51","38","41","52","236","88","196"
"168","20","72","24","75","264","141","99","75","226","47","227","81","115","159","208","114","262","51","38","41","52","236","88","196"
"168","20","72","24","75","264","141","99","75","226","47","227","81","115","159","208","114","262","51","38","41","52","223","88","196"
"168","20","72","24","71","264","141","99","75","226","47","227","81","115","159","208","114","262","51","38","41","52","223","88","196"
"168","20","72","24","71","264","141","99","75","226","47","227","81","115","159","208","114","262","51","38","41","59","223","88","196"
"168","20","60","24","71","264","141","99","75","226","47","227","81","115","159","208","114","262","51","38","41","59","223","88","196"
"168","20","60","24","71","264","141","99","75","226","47","227","81","109","159","208","114","262","51","38","41","59","223","88","196"
"168","20","60","24","71","264","141","99","75","226","47","227","81","109","159","208","114","262","51","38","41","59","236","88","196"
"168","20","60","24","71","264","141","99","75","226","47","227","81","109","159","208","114","262","51","38","41","59","236","88","196"
"168","20","60","24","71","264","141","99","75","226","47","227","81","109","159","208","114","262","51","38","41","59","236","88","196"
"168","20","60","24","71","264","140","99","75","226","47","227","81","109","159","208","114","262","51","38","41","59","236","88","196"
"168","20","60","24","71","264","140","99","75","226","47","227","81","109","159","208","114","262","51","38","41","59","236","88","196"
"168","20","60","24","71","264","140","99","75","226","47","227","81","109","159","208","114","262","51","38","41","59","236","88","196"
"168","20","60","14","71","264","140","99","75","226","47","227","81","109","159","208","114","262","51","38","41","59","236","88","196"
"168","20","60","14","71","264","140","99","75","226","47","227","81","109","159","208","114","262","91","38","41","59","236","88","196"
"168","20","60","14","71","264","140","99","75","216","47","227","81","109","159","208","114","262","91","38","41","59","236","88","196"
"168","20","60","14","71","264","140","99","75","216","47","227","81","109","159","208","114","262","91","38","40","59","236","88","196"
"168","20","60","14","71","264","140","99","75","216","47","227","81","109","159","208","114","262","91","38","40","59","236","88","196"
"168","20","60","14","71","264","140","99","75","216","47","227","81","109","159","208","114","262","91","38","40","59","249","88","196"
"168","20","60","14","71","264","140","99","75","216","47","227","81","109","159","208","114","262","91","38","40","59","249","88","196"
"168","20","60","14","71","264","140","99","75","216","47","227","81","109","159","208","114","262","91","38","40","59","249","88","230"
"168","20","74","14","71","264","140","99","75","216","47","227","81","109","159","208","114","262","91","38","40","59","249","88","230"
"168","20","74","14","71","264","140","99","75","216","47","227","81","109","159","208","114","262","91","38","40","59","249","88","230"
"168","20","74","14","71","264","140","99","75","216","47","227","81","109","159","208","114","262","91","38","40","59","249","88","230"
"168","20","74","14","71","264","140","99","75","216","47","227","81","109","159","208","114","262","91","38","40","59","249","88","230"
"168","20","74","14","71","264","140","99","75","216","47","227","81","109","159","208","114","262","91","38","40","59","249","79","230"
"168","20","74","14","71","264","140","99","75","216","47","227","81","109","159","208","114","262","91","38","40","59","249","79","230"
"168","20","74","14","71","264","141","99","75","216","47","227","81","109","159","208","114","262","91","38","40","59","249","79","230"
"168","20","74","14","71","264","141","99","75","216","47","227","81","109","159","208","114","262","91","38","40","59","249","79","230"
"168","20","74","14","71","264","141","99","75","216","47","227","81","109","159","208","114","262","91","38","40","59","249","79","230"
"168","20","74","14","71","264","141","99","75","216","47","227","81","109","159","208","114","262","91","38","40","52","249","79","230"
"168","20","74","14","71","264","141","99","75","216","47","227","81","109","159","208","114","262","91","38","40","52","249","79","230"
"168","15","74","14","71","264","141","99","75","216","47","227","81","109","159","208","114","262","91","38","40","52","249","79","230"
"168","15","74","14","71","264","141","99","75","216","47","227","81","109","159","208","114","262","91","38","40","52","249","79","230"
"168","15","74","14","71","264","141","99","75","216","51","227","81","109","159","208","114","262","91","38","40","52","249","79","230"
"168","15","74","14","71","264","141","99","75","216","51","227","81","109","159","208","114","262","91","38","40","52","249","79","230"
"168","15","74","14","71","264","141","99","75","216","51","227","81","109","159","208","114","262","91","38","40","52","249","79","230"
"168","15","74","14","71","264","141","99","75","216","51","227","81","109","159","208","114","262","91","38","40","52","249","79","230"
"168","15","74","14","71","264","141","99","75","216","51","227","81","109","159","208","114","262","91","38","40","52","249","79","230"
"168","15","74","24","71","264","141","99","75","216","51","227","81","109","159","208","114","262","91","38","40","52","249","79","230"
"168","15","74","24","71","264","141","99","75","216","51","227","81","109","159","208","114","262","96","38","40","52","249","79","230"
"168","15","74","24","71","264","141","99","75","216","51","227","81","109","159","208","114","262","96","38","40","52","249","79","230"
"168","15","74","24","71","264","141","99","75","216","51","227","81","109","159","208","114","266","96","38","40","52","249","79","230"
"168","15","74","24","71","264","141","99","75","216","69","227","81","109","159","208","114","266","96","38","40","52","249","79","230"
"168","15","74","24","71","264","141","99","75","216","69","227","81","109","159","208","114","277","96","38","40","52","249","79","230"
"168","15","74","24","71","264","141","99","75","195","69","227","81","109","159","208","114","277","96","38","40","52","249","79","230"
"168","15","74","24","71","264","141","99","75","195","69","227","81","109","159","207","114","277","96","38","40","52","249","79","230"
"168","15","74","24","71","264","141","99","75","195","69","227","81","109","159","207","114","277","96","39","40","52","249","79","230"
"167","15","74","24","71","264","141","99","75","195","69","227","81","109","159","207","114","277","96","39","40","52","249","79","230"
"167","15","74","24","71","264","141","99","75","195","69","227","81","109","159","207","114","277","96","39","40","52","249","79","230"
"167","15","74","24","71","264","141","99","75","195","69","227","81","109","159","207","114","277","96","39","40","52","236","79","230"
"167","15","74","24","71","264","141","99","75","195","69","227","81","109","159","207","114","277","96","39","40","52","236","79","230"
"167","15","74","24","71","264","141","99","75","195","69","227","81","109","159","207","114","277","96","53","40","52","236","79","230"
"167","15","74","24","71","264","141","99","75","195","69","227","81","109","159","207","114","277","96","53","40","52","236","79","230"
